cdn,city,tour,run,lcp_ms,speed_index_ms,ttfb_ms
Amazon CloudFront,London,C,2,2637.0,2895.0,204
Amazon CloudFront,London,C,3,2423.0,3044.0,204
Amazon CloudFront,London,C,4,2503.0,2823.0,205
Amazon CloudFront,London,C,5,2545.0,3193.0,203
Amazon CloudFront,London,C,6,2449.0,3398.0,205
Amazon CloudFront,London,C,7,2475.0,3087.0,205
Amazon CloudFront,London,C,8,2329.0,3375.0,208
Amazon CloudFront,London,C,9,2412.0,3252.0,204
Amazon CloudFront,London,D,1,3240.0,3993.0,261
Amazon CloudFront,London,D,2,3492.0,3303.0,209
Amazon CloudFront,London,D,3,3259.0,4224.0,202
Amazon CloudFront,London,D,4,3123.0,3784.0,202
Amazon CloudFront,London,D,5,3246.0,3910.0,201
Amazon CloudFront,London,D,6,3347.0,4421.0,203
Amazon CloudFront,London,D,7,3358.0,3203.0,205
Amazon CloudFront,London,D,8,3286.0,3213.0,205
Amazon CloudFront,London,D,9,3258.0,4000.0,201
Amazon CloudFront,Singapore,A,1,5864.0,6756.0,584
Amazon CloudFront,Singapore,A,2,6272.0,6579.0,1019
Amazon CloudFront,Singapore,A,3,5839.0,7484.0,569
Amazon CloudFront,Singapore,A,4,5105.0,5849.0,242
Amazon CloudFront,Singapore,A,5,4661.0,5038.0,214
Amazon CloudFront,Singapore,A,6,4058.0,5634.0,201
Amazon CloudFront,Singapore,A,7,2573.0,3250.0,204
Amazon CloudFront,Singapore,A,8,2543.0,3877.0,202
Amazon CloudFront,Singapore,A,9,2593.0,2680.0,206
Amazon CloudFront,Singapore,B,1,3957.0,4113.0,776
Amazon CloudFront,Singapore,B,2,2687.0,3548.0,210
Amazon CloudFront,Singapore,B,3,2729.0,3507.0,204
Amazon CloudFront,Singapore,B,4,2663.0,2478.0,204
Amazon CloudFront,Singapore,B,5,2883.0,3050.0,203
Amazon CloudFront,Singapore,B,6,2940.0,3728.0,208
Amazon CloudFront,Singapore,B,7,2851.0,2822.0,206
Amazon CloudFront,Singapore,B,8,2779.0,3634.0,199
Amazon CloudFront,Singapore,B,9,2746.0,3421.0,203
Amazon CloudFront,Singapore,C,1,4320.0,4906.0,963
Amazon CloudFront,Singapore,C,2,2528.0,3208.0,204
Amazon CloudFront,Singapore,C,3,2583.0,3230.0,203
Amazon CloudFront,Singapore,C,4,2557.0,2456.0,202
Amazon CloudFront,Singapore,C,5,2538.0,2304.0,208
Amazon CloudFront,Singapore,C,6,2432.0,3013.0,199
Amazon CloudFront,Singapore,C,7,2510.0,2805.0,200
Amazon CloudFront,Singapore,C,8,2486.0,3152.0,200
Amazon CloudFront,Singapore,C,9,2578.0,3330.0,202
Amazon CloudFront,Singapore,D,1,5230.0,6160.0,817
Amazon CloudFront,Singapore,D,2,3066.0,4107.0,206
Amazon CloudFront,Singapore,D,3,3244.0,3906.0,201
Amazon CloudFront,Singapore,D,4,3358.0,4180.0,199
Amazon CloudFront,Singapore,D,5,3270.0,4255.0,204
Amazon CloudFront,Singapore,D,6,3289.0,4463.0,203
Amazon CloudFront,Singapore,D,7,3259.0,3066.0,204
Amazon CloudFront,Singapore,D,8,3250.0,4161.0,201
Amazon CloudFront,Singapore,D,9,3157.0,4248.0,199
Cloudflare,Cape Town,A,1,5144.0,6045.0,724
Cloudflare,Cape Town,A,2,5022.0,6101.0,844
Cloudflare,Cape Town,A,3,4965.0,5117.0,693
Cloudflare,Cape Town,A,4,4842.0,5754.0,827
Cloudflare,Cape Town,A,5,4620.0,6035.0,656
